DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1764340271.090739
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/utils/urls.py first seen with mtime 1764340387.6212757
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/admindocs/__init__.py first seen with mtime 1764340271.090029
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1764340387.620155
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/dotenv/variables.py first seen with mtime 1764831248.2259448
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/checks/registry.py first seen with mtime 1764340271.6413236
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextvars.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/serializers/base.py first seen with mtime 1764340271.656215
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/postgres/search.py first seen with mtime 1764340271.4532545
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/validators.py first seen with mtime 1764340387.5669975
DEBUG 2025-12-04 07:00:04,345 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/calendar.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/messages/apps.py first seen with mtime 1764340271.4492831
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1764340271.7205215
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/sqlparse/tokens.py first seen with mtime 1764340270.7947876
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/accounts/views.py first seen with mtime 1764418559.9211812
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1764340271.4526386
DEBUG 2025-12-04 07:00:04,345 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/auth/__init__.py first seen with mtime 1764340271.1454113
